the_geom,name,OBJECTID,FOLIO,ID,ZIPCODE,PHONE,CONTACT,TOTACRE,POINT_X,POINT_Y,CLASS,TYPE,MNGTAGCY,MUNICIPAL_,PROPNUM,PARKURL,AMPHITHEAT,AUDITORIUM,ARCHERY,BASEBALL,BASKETBALL,BEACH,BMXTRACK,BOATRAMP,CAMPGROUND,RVCAMPGROU,DOGPARK,EQUESTRIAN,FOOTBALL,FRISBEEGOL,GOLF,GOLFDRIVIN,GUNRANGE,GYMNASIUM,MARINA,MOUNTAINBI,NATURECENT,NATURETRAI,RAQUETBALL,REC_CENTER,ROLLERHOCK,SHELTER,SKATING,SOCCER,STADIUM,SWIMMING,TENNIS,TOTLOT,TRACK400,TRAIL,VOLLEYBALL,WETPLAYGRO,WIFI,ZOO,GlobalID,created_user,created_date,last_edited_user,last_edited_date,FACILITYPLAN,ART,BIKETRAIL,CANOE_LAUNCH,FITNESSZONE,PLAYGROUND,RESTROOM,Location 1,ADDRESS,CITY,lat,lon,park_size
POINT (-80.38057273022197 25.580934633918098),Roberta Hunter Park,1,3030320131910,0,33189,305-255-2399,NA,0,860338.9998,453858.999804,Greenway - Right of Way,Area-Wide,MiamiDadePark,County,600703,http://www.miamidade.gov/parks/roberta-hunter.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{242704D5-B10F-4F80-A90F-65EB270156C9},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Roberta Hunter Park.pdf,No,No,No,No,No,No,"(25.58093, -80.38057)",SW 117TH AVE / SW 200TH ST,MIAMI,25.58093,-80.38057,Small Park
POINT (-80.38503273355526 25.6677646553204),Rock Ridge Park,2,3059120000010,1,33176,305-596-9324,NA,4.7,858721.999422,485409.99969,Neighborhood Park,Local,MiamiDadePark,County,591201,http://www.miamidade.gov/parks/rockridge.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{AEFB8D94-2B71-455A-889C-4377862E57EA},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Rock Ridge Park.pdf,No,No,No,No,No,No,"(25.66776, -80.38503)",10810 SW 117TH AVE,MIAMI,25.66776,-80.38503,Medium Park
POINT (-80.34443272121428 25.634914648358336),Rockdale Park,3,3050210000141,2,33176,305-274-9666,NA,3.2,872154.00012,473535.99982,Neighborhood Park,Local,MiamiDadePark,County,502101,http://www.miamidade.gov/parks/rockdale.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{A0536EB8-63B9-43C1-9F80-FB579AD8A7CD},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Rockdale Park.pdf,No,No,No,No,No,No,"(25.63491, -80.34443)",9325 SW 146TH ST,MIAMI,25.63491,-80.34443,Medium Park
POINT (-80.25104269826397 25.818644695895802),Rocky Creek Park,5,3031210190550,4,33142,305-633-4066,NA,0.25,902545.00003,540474.999472,Mini Park,Local,MiamiDadePark,County,312107,http://www.miamidade.gov/parks/rocky-creek.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{FDC0BE16-23D7-4DDD-B584-FEC7D566D56A},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Rocky Creek Park.pdf,No,No,No,No,No,No,"(25.81864, -80.25104)",3305 NW 48TH TER,MIAMI,25.81864,-80.25104,Small Park
POINT (-80.35010272379427 25.667194655778996),Ron Ehmann Park,6,3050090000800,5,33176,305-271-3853,NA,0,870228.000032,485258.00065,Community Park,Local,MiamiDadePark,County,500901,http://www.miamidade.gov/parks/ron-ehmann.asp,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,{3C9BC6AF-3000-4748-A114-E1CD0C7301B5},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Ron Ehmann Park.pdf,No,No,No,No,No,No,"(25.66719, -80.3501)",10995 SW 97TH AVE,MIAMI,25.66719,-80.3501,Small Park
POINT (-80.11979266292978 25.940974730278025),Sunny Isles Beach,7,NA,6,33160,305-868-7075,NA,0,945421.999906,585208.99957,Metropolitan Park,Area-Wide,MiamiDadePark,County,221102,http://www.miamidade.gov/parks/,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{CEBD8F2F-3ED6-4D12-9E21-DB5DE3410F67},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Sunny Isles Beach.pdf,No,No,No,No,No,No,"(25.94097, -80.11979)",FROM N END OF HAULOVER TO 195TH ST,SUNNY ISLES BEACH,25.94097,-80.11979,Small Park
POINT (-80.2499026993375 25.829504699799134),Martin Luther King Memorial Park,8,3031160000280,18,33142,305-633-2044,NA,10.13,902896.99998,544424.999774,Community Park,Local,MiamiDadePark,County,311608,http://www.miamidade.gov/parks/martin-luther.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,{C7EB16F7-7B1E-48D4-90F2-3FCD746B8A15},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Martin Luther King Memorial Park.pdf,No,No,No,No,No,No,"(25.8295, -80.2499)",6160 NW 32ND CT,MIAMI,25.8295,-80.2499,Large Park
POINT (-80.23707269365005 25.819404696432578),Marva Y. Bannerman Park & Pool,9,3031220000150,19,33142,305-633-4064,NA,3.92,907139.000029,540778.99952,Community Park,Local,MiamiDadePark,County,312203,http://www.miamidade.gov/parks/marva-bannerman.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,{7D3343C8-ED40-46F2-B934-323408594932},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Marva Y. Bannerman Park & Pool.pdf,No,No,No,No,No,No,"(25.8194, -80.23707)",4830 NW 24TH AVE,MIAMI,25.8194,-80.23707,Medium Park
POINT (-80.40768274104302 25.71067466555455),McMillan Park,10,3049260050020,20,33183,305-382-6407,NA,8.6,851192.0007,500970.000398,Single Purpose Park,Local,MiamiDadePark,County,492600,http://www.miamidade.gov/parks/mcmillan.asp,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,{8E2E39CA-1AC7-4681-8208-DE9C161C67E8},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/McMillan Park.pdf,No,No,No,No,No,No,"(25.71067, -80.40768)",6125 SW 133RD AVE,MIAMI,25.71067,-80.40768,Large Park
POINT (-80.40052273613892 25.574344631824925),MedSouth Park,11,3069110042220,21,33177,305-257-0933,NA,4.49,853771.999808,451434.00006,Neighborhood Park,Local,MiamiDadePark,County,691102,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{5B756EEC-DA25-4179-9289-CFFB7C18FB0D},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/MedSouth Park.pdf,No,No,No,No,No,No,"(25.57434, -80.40052)",20751 SW 129TH AVE,MIAMI,25.57434,-80.40052,Medium Park
